"Team","Opponent","HomeGoals","OpponentGoals","score","HomeWin","Draw","OpponentWin","HomeWin_Odds","Draw_Odds","OpponentWin_Odds"
"Rangers","Livingston",2,0,"2 - 0",0.811174753685119,0.128829403182445,0.0459935299501351,1.23277998416132,7.76220315624549,21.742188544436
"Rangers","St Mirren",3,1,"3 - 1",0.830300194162403,0.0917833899456374,0.0377868756699273,1.20438367596528,10.8952175398217,26.4642149495268
"Rangers","St Johnstone",3,1,"3 - 1",0.81725598811597,0.115103608027555,0.0458844818314364,1.22360681908898,8.68782497035721,21.7938605839258
"Rangers","Celtic",2,1,"2 - 1",0.488024368119308,0.228985325316685,0.279795006962395,2.04907800783327,4.36709207726307,3.5740451942175
"Rangers","Dundee",5,0,"5 - 0",0.761026082052714,0.0240122585245398,0.00692331569172387,1.31401541101286,41.6453953707865,144.439462900038
"Rangers","Ross County",3,0,"3 - 0",0.848319288277543,0.0874378379128668,0.0291369664586449,1.17880144164874,11.4366963304435,34.3206627710999
"Rangers","Hearts",3,1,"3 - 1",0.810462210439675,0.108849584953279,0.0502734214952903,1.23386382130945,9.18698955470734,19.8912262236554
"Rangers","Dundee United",3,0,"3 - 0",0.802389547057679,0.130069348930059,0.0521628996934929,1.24627745172771,7.68820639317357,19.1707133973755
"Rangers","Hibernian",2,1,"2 - 1",0.684141538078095,0.195228901098601,0.115625786197632,1.46168584180581,5.12219243346017,8.64858984215481
"Rangers","Aberdeen",3,0,"3 - 0",0.800321160822897,0.131868392842701,0.0530223484014867,1.24949838758704,7.58331832551299,18.8599718825725
"Rangers","Motherwell",3,1,"3 - 1",0.81055368986194,0.115455837127865,0.0501058986691673,1.23372456693193,8.66132042239247,19.9577300589432
"Rangers","Kilmarnock",3,0,"3 - 0",0.85926337235007,0.0943706248077194,0.0235837179471217,1.16378753264557,10.5965177409549,42.4021353309157
"Rangers","Hamilton",5,0,"5 - 0",0.721185501900506,0.0177569771127248,0.00474581390776744,1.38660580026186,56.3158917000233,210.712012614592
"Dundee","Livingston",1,1,"1 - 1",0.332628322166292,0.251536914154435,0.41451592431949,3.00635854904763,3.97555962456483,2.41245255328055
"Dundee","St Mirren",1,1,"1 - 1",0.260666988563625,0.280489844829578,0.458348557095571,3.83631239809224,3.56519146212794,2.18174571408433
"Dundee","St Johnstone",1,1,"1 - 1",0.287265356836533,0.293655507164437,0.418779487202295,3.48110197140494,3.40535074467388,2.38789155285665
"Dundee","Celtic",1,3,"1 - 3",0.0977325408001944,0.143222665156501,0.736342769367242,10.2320065743959,6.98213511742216,1.35806317601153
"Dundee","Rangers",1,2,"1 - 2",0.109240893793484,0.166980774636724,0.712225125446143,9.15408108881333,5.98871338437348,1.40405043893052
"Dundee","Ross County",1,2,"1 - 2",0.196604798134127,0.221738646048679,0.578186661450877,5.08634585468144,4.50981377319526,1.72954526050574
"Dundee","Hearts",1,1,"1 - 1",0.268388163046258,0.365662425669517,0.365916322754801,3.72594673568985,2.73476280251937,2.73286524217203
"Dundee","Dundee United",1,1,"1 - 1",0.573253487652943,0.282094691178485,0.144136440269027,1.74442898567312,3.54490896593047,6.93787079890086
"Dundee","Hibernian",2,2,"2 - 2",0.331727275285669,0.229162570966936,0.435817893892191,3.01452450401868,4.36371435256887,2.29453635111038
"Dundee","Aberdeen",1,2,"1 - 2",0.198828898064622,0.197501598977205,0.595278853994206,5.02944999310406,5.06325014672624,1.67988497036337
"Dundee","Motherwell",2,1,"2 - 1",0.482464170001564,0.247620983563205,0.268357848771017,2.0726927763294,4.03842996506292,3.72636762658384
"Ross County","Livingston",1,1,"1 - 1",0.344809498562286,0.294154378961935,0.360765890248796,2.90015212507077,3.39957543222365,2.7718806767191
"Ross County","St Mirren",1,2,"1 - 2",0.284644624112418,0.245020937713252,0.468616365355598,3.51315259551524,4.08128386632125,2.13394169288385
"Ross County","St Johnstone",1,2,"1 - 2",0.291740368993078,0.251484521047151,0.455432375896968,3.42770526907685,3.97638787403742,2.19571566037771
"Ross County","Celtic",1,3,"1 - 3",0.0655023933655248,0.116523890189757,0.784751981959202,15.2666177313502,8.58193112478064,1.27428795720071
"Ross County","Rangers",1,3,"1 - 3",0.058917377541564,0.107003040242805,0.793131145863114,16.9729210926698,9.34552885348735,1.26082553335081
"Ross County","Dundee",2,1,"2 - 1",0.428661562365422,0.234435229861285,0.334263196041753,2.33284270808384,4.26557049719745,2.99165451608705
"Ross County","Hearts",2,1,"2 - 1",0.403463028069578,0.241765060263528,0.35282249949759,2.47854185000453,4.13624697840946,2.83428636615855
"Ross County","Dundee United",1,1,"1 - 1",0.394122606133606,0.265070920835035,0.340028498555062,2.53728150691514,3.77257526721441,2.94092996395732
"Ross County","Hibernian",1,2,"1 - 2",0.181746548453204,0.221071279937848,0.59383173801493,5.50216776335358,4.52342792008595,1.68397870302927
"Ross County","Aberdeen",1,2,"1 - 2",0.248804881299452,0.254889524222008,0.495105490938271,4.01921375005676,3.92326833773287,2.01977158060782
"Ross County","Motherwell",1,1,"1 - 1",0.303531096832463,0.273599283768632,0.42228302386804,3.29455535342384,3.65498032825863,2.36808003987509
"Ross County","Kilmarnock",2,1,"2 - 1",0.519949529626929,0.254154545540259,0.224669889547518,1.9232635919827,3.93461386997541,4.45097472569192
"Ross County","Hamilton",1,1,"1 - 1",0.365216140916508,0.282912685559052,0.351470682930692,2.73810461249195,3.53465945870876,2.84518751795066
"Hearts","Livingston",2,1,"2 - 1",0.639506940031296,0.201140266768369,0.153766575637231,1.56370468778816,4.97165493546646,6.5033639193424
"Hearts","St Mirren",2,1,"2 - 1",0.503546652142593,0.235066176905727,0.258916305229588,1.9859133125898,4.25412117201808,3.86225193161656
"Hearts","St Johnstone",3,1,"3 - 1",0.621379360942221,0.179806798519943,0.183818273122905,1.60932284342959,5.56152497142141,5.44015555695803
"Hearts","Celtic",1,2,"1 - 2",0.201270752642329,0.204418624099752,0.587746199491498,4.96843176105702,4.89192217394058,1.70141465970375
